,Country,City,Date,Max Temp,Cloudiness,Humidity,Lat,Lng,Wind Speed
127,IN,Tezu,1651939349,76.3,51,72,27.9167,96.1667,3.94
128,MN,Khovd,1651939303,64.51,97,21,48.0056,91.6419,7.63
129,BR,Pancas,1651939350,81.97,37,58,-19.225,-40.8514,4.88
130,CA,Strathmore,1651939350,50.95,100,53,51.0501,-113.3852,3.0
131,AR,Necochea,1651939267,70.48,94,51,-38.5473,-58.7368,13.69
132,GE,Pitsunda,1651939351,53.78,99,90,43.1592,40.3378,1.72
133,US,Saint George,1651939129,81.79,4,16,37.1041,-113.5841,3.0
134,MZ,Inhambane,1651939320,75.18,0,69,-23.865,35.3833,0.0
135,MX,San Miguel de Cozumel,1651939153,86.95,100,77,20.5083,-86.9458,10.0
136,RU,Kholmogory,1651939352,52.97,32,78,64.2229,41.656,10.29
137,US,Sitka,1651938928,42.78,41,75,57.0531,-135.33,2.08
138,BR,Barão de Melgaço,1651939353,86.25,0,25,-16.1944,-55.9675,4.79
139,IS,Vestmannaeyjar,1651939186,47.39,75,66,63.4427,-20.2734,16.11
140,MX,Petatlán,1651939354,87.24,100,45,17.5167,-101.2667,4.85
141,RU,Ayan,1651939354,35.1,33,74,56.45,138.1667,11.86
142,MY,Kudat,1651939355,80.51,99,84,6.8837,116.8477,9.17
143,RU,Khatanga,1651939216,-3.51,15,100,71.9667,102.5,5.66
144,CN,Tianpeng,1651939356,79.72,96,55,30.9866,103.9393,10.36
145,PH,Dingle,1651939356,79.45,20,84,10.9995,122.6711,7.63
146,IN,Leh,1651939357,50.23,71,39,34.1667,77.5833,6.04
147,CN,Wangqing,1651939357,37.56,0,45,43.3218,129.7634,2.55
148,BR,Cruzeiro do Oeste,1651939358,72.55,71,59,-23.785,-53.0733,4.72
149,ZA,Durban,1651939358,72.91,80,91,-29.8579,31.0292,5.99
150,ID,Bengkulu,1651939245,77.67,100,89,-3.8004,102.2655,13.62
151,CA,Haines Junction,1651939341,31.96,100,77,60.7522,-137.5108,2.21
152,SA,Sakakah,1651939289,73.89,1,16,29.9697,40.2064,10.69
153,US,River Falls,1651939209,67.41,0,54,44.8614,-92.6238,12.5
154,CD,Mbandaka,1651939361,76.51,92,82,0.0487,18.2603,2.3
155,PK,Dalbandin,1651939267,93.25,30,10,28.8947,64.4101,2.64
156,UY,Chui,1651939247,70.03,0,57,-33.6971,-53.4616,1.95
157,US,Nome,1651939260,31.15,100,90,64.5011,-165.4064,13.76
158,SE,Linköping,1651939362,54.57,40,64,58.4109,15.6216,9.22
159,MU,Souillac,1651939307,77.38,75,88,-20.5167,57.5167,14.97
160,JP,Oyama,1651939365,67.59,100,84,36.3,139.8,3.98
161,US,Saint Paul Harbor,1651939282,40.69,3,73,57.79,-152.4072,6.38
162,JP,Namie,1651939366,64.71,95,94,37.4833,141.0,4.83
163,ID,Nabire,1651939367,78.03,83,90,-3.3667,135.4833,2.8
164,AU,Hobart,1651939225,53.46,75,76,-42.8794,147.3294,12.66
165,NE,Arlit,1651939370,104.81,100,9,18.7369,7.3853,15.52
166,RU,Gornopravdinsk,1651939371,32.95,93,88,60.05,69.9,5.3
167,CI,Grand-Lahou,1651939371,84.65,100,71,5.1367,-5.0242,9.28
168,IN,Port Blair,1651939372,77.4,100,94,11.6667,92.75,9.82
